author,awards,bookFormat,bookName,description,isbn,noOfPages,noOfReviews,publisher,rating,votes
Terry Pratchett,"Locus Award Nominee for Best Fantasy Novel (2003),Prometheus Award for Best Novel (2003),Tähtifantasia Award Nominee (2011)",Paperback,Night Watch,"For a policeman, there can be few things worse than a serial killer at loose in your city. Except, perhaps, a serial killer who targets coppers, and a city on the brink of bloody revolution. The people have found their voice at last, tFor a policeman, there can be few things worse than a serial killer at loose in your city. Except, perhaps, a serial killer who targets coppers, and a city on the brink of bloody revolution. The people have found their voice at last, the flags and barricades are rising...And the question for a policeman, an officer of the law, a defender of the peace, is:Are you with them, or are you against them?",055215430X,480 pages,"1,857"," 
            Published
        October 27th 2011
         by Transworld Publishers Ltd",4.48,"83,908"
Stephen King,British Fantasy Award for Best Novel (2005),Paperback,The Dark Tower,"The seventh and final installment of Stephen King's  saga is perhaps the most anticipated book in the author's long career. King began this epic tale about the last gunslinger in the world more than 20 years ago; now he draws its suspenseful story to a close, snapping together the last pieces of his action puzzle and drawing Roland Deschain ever closer to hisThe seventh and final installment of Stephen King's  saga is perhaps the most anticipated book in the author's long career. King began this epic tale about the last gunslinger in the world more than 20 years ago; now he draws its suspenseful story to a close, snapping together the last pieces of his action puzzle and drawing Roland Deschain ever closer to his ultimate goal.",1416524525,1050 pages,"4,665"," 
            Published
        September 1st 2006
         by Pocket Books",4.28,"118,013"
Libba Bray,,Hardcover,The Sweet Far Thing,"It has been a year of change since Gemma Doyle arrived at the foreboding Spence Academy. Her mother murdered, her father a laudanum addict, Gemma has relied on an unsuspected strength and has discovered an ability to travel to an enchanted world called the realms, where dark magic runs wild. Despite certain peril, Gemma has bound the magic to herself and forged unlikely neIt has been a year of change since Gemma Doyle arrived at the foreboding Spence Academy. Her mother murdered, her father a laudanum addict, Gemma has relied on an unsuspected strength and has discovered an ability to travel to an enchanted world called the realms, where dark magic runs wild. Despite certain peril, Gemma has bound the magic to herself and forged unlikely new alliances. Now, as Gemma approaches her London debut, the time has come to test these bonds. The Order - the mysterious group her mother was once part of - is grappling for control of the realms, as is the Rakshana. Spence's burned East Wing is being rebuilt, but why now? Gemma and her friends see Pippa, but she is not the same. And their friendship faces its gravest trial as Gemma must decide once and for all what role she is meant for.",0385730306,819 pages,"3,710"," 
            Published
        December 26th 2007
         by Delacorte Press",3.98,"59,893"
China Miéville,"Hugo Award Nominee for Best Novel (2002),Nebula Award Nominee for Best Novel (2002),Locus Award Nominee for Best Fantasy Novel (2001),Arthur C. Clarke Award for Best Novel (2001),World Fantasy Award Nominee for Best Novel (2001)",Mass Market Paperback,Perdido Street Station,"Beneath the towering bleached ribs of a dead, ancient beast lies the city of New Crobuzon, where the unsavory deal is stranger to no one--not even to Isaac, a gifted and eccentric scientist who has spent a lifetime quietly carrying out his unique research. But when a half-bird, half-human creature known as the Garuda comes to him from afar, Isaac is faced with challenges hBeneath the towering bleached ribs of a dead, ancient beast lies the city of New Crobuzon, where the unsavory deal is stranger to no one--not even to Isaac, a gifted and eccentric scientist who has spent a lifetime quietly carrying out his unique research. But when a half-bird, half-human creature known as the Garuda comes to him from afar, Isaac is faced with challenges he has never before encountered. Though the Garuda's request is scientifically daunting, Isaac is sparked by his own curiosity and an uncanny reverence for this curious stranger. Soon an eerie metamorphosis will occur that will permeate every fiber of New Crobuzon--and not even the Ambassador of Hell will challenge the malignant terror it evokes.",0345459407,623 pages,"4,168"," 
            Published
        August 2003
         by Ballantine Del Rey",3.97,"50,109"
Cassandra Clare,"RITA Award by Romance Writers of America Nominee for Young Adult Romance (2011),Romantic Times Reviewers' Choice Award (RT Award) Nominee for Best Young Adult Paranormal/Fantasy Novel (2010),The Inky Awards for Silver Inky (2011),Lincoln Award Nominee (2013),Goodreads Choice Award Nominee for Favorite Book, Favorite Heroine, Young Adult Fantasy, Goodreads Author (2010)",Hardcover,Clockwork Angel,"In a time when Shadowhunters are barely winning the fight against the forces of darkness, one battle will change the course of history forever. Welcome to the Infernal Devices trilogy, a stunning and dangerous prequel to the  bestselling Mortal Instruments series.The year is 1878. Tessa Gray descends into London’s dark supernatural underworld in search of herIn a time when Shadowhunters are barely winning the fight against the forces of darkness, one battle will change the course of history forever. Welcome to the Infernal Devices trilogy, a stunning and dangerous prequel to the  bestselling Mortal Instruments series.The year is 1878. Tessa Gray descends into London’s dark supernatural underworld in search of her missing brother. She soon discovers that her only allies are the demon-slaying Shadowhunters—including Will and Jem, the mysterious boys she is attracted to. Soon they find themselves up against the Pandemonium Club, a secret organization of vampires, demons, warlocks, and humans. Equipped with a magical army of unstoppable clockwork creatures, the Club is out to rule the British Empire, and only Tessa and her allies can stop them...",1416975861,481 pages,"26,303","  
            Published
        August 31st 2010
         by Simon & Schuster Margaret K. McElderry",4.33,"563,341"
Libba Bray,,Paperback,Rebel Angels,"Ah, Christmas! Gemma Doyle is looking forward to a holiday from Spence Academy, spending time with her friends in the city, attending ritzy balls, and on a somber note, tending to her ailing father. As she prepares to ring in the New Year, 1896, a handsome young man, Lord Denby, has set his sights on Gemma, or so it seems. Yet amidst the distractions of London, Gemma’s visAh, Christmas! Gemma Doyle is looking forward to a holiday from Spence Academy, spending time with her friends in the city, attending ritzy balls, and on a somber note, tending to her ailing father. As she prepares to ring in the New Year, 1896, a handsome young man, Lord Denby, has set his sights on Gemma, or so it seems. Yet amidst the distractions of London, Gemma’s visions intensify–visions of three girls dressed in white, to whom something horrific has happened, something only the realms can explain...The lure is strong, and before long, Gemma, Felicity, and Ann are turning flowers into butterflies in the enchanted world of the realms that Gemma alone can bring them to. To the girls’ great joy, their beloved Pippa is there as well, eager to complete their circle of friendship.But all is not well in the realms–or out. The mysterious Kartik has reappeared, telling Gemma she must find the Temple and bind the magic, else great disaster will befall her. Gemma’s willing to do his intrusive bidding, despite the dangers it brings, for it means she will meet up with her mother’s greatest friend–and now her foe, Circe. Until Circe is destroyed, Gemma cannot live out her destiny. But finding Circe proves a most perilous task.",0385733410,548 pages,"3,224"," 
            Published
        December 26th 2006
         by Ember",3.95,"94,862"
Harry James Fox,,Kindle Edition,The Stonegate Sword:," Do you love historical fiction, knights in armor and romance? How about a tale with all of these set in future North America? Escape to a passionate world of danger, love, war and redemption -- the world of Stonegate.   The Old Empire is gone But tales still tell of marvels from long ago-flying machines and devices run by the power of lightning. Now grass grows in the str Do you love historical fiction, knights in armor and romance? How about a tale with all of these set in future North America? Escape to a passionate world of danger, love, war and redemption -- the world of Stonegate.    The Old Empire is gone  But tales still tell of marvels from long ago-flying machines and devices run by the power of lightning. Now grass grows in the streets and rusted hulks are all that remain of the proud machines. A new time of troubles now threatens. The free towns of the rugged mountains and plains are in the path of conquest. The Prophet's armies are coming, filled with hatred and armed with terrible, rediscovered weapons. Donald of Fisher, outcast and alone, is in the path of the march, searching for Rachel, who has been captured by the Raiders-minions of the Prophet. But how can he find and rescue one small captive in a wilderness teeming with enemies? And even if he succeeds, should he wield his sword beside the tiny band of defenders? Is Donald to become yet another victim, or is he, just possibly, the deliverer promised in prophecy? What can one person do in the face of a war that will shape the future of a continent?   Brilliantly crafted and epic in scope, this is a book you won't want to put down!   Scroll up and grab a copy today.  ",English,503 pages,44," 
            Published
        February 6th 2015
         by Foxware Publishing LLC",4.32,66
Megan Whalen Turner,"Mythopoeic Fantasy Award for Children’s Literature (2011),Dorothy Canfield Fisher Children's Book Award Nominee (2008),Andre Norton Award Nominee (2006)",Hardcover,The King of Attolia,"By scheming and theft, the Thief of Eddis has become King of Attolia. Eugenides wanted the queen, not the crown, but he finds himself trapped in a web of his own making.Then he drags a naive young guard into the center of the political maelstrom. Poor Costis knows he is the victim of the king's caprice, but his contempt for Eugenides slowly turns to grudging respect. ThougBy scheming and theft, the Thief of Eddis has become King of Attolia. Eugenides wanted the queen, not the crown, but he finds himself trapped in a web of his own making.Then he drags a naive young guard into the center of the political maelstrom. Poor Costis knows he is the victim of the king's caprice, but his contempt for Eugenides slowly turns to grudging respect. Though struggling against his fate, the newly crowned king is much more than he appears. Soon the corrupt Attolian court will learn that its subtle and dangerous intrigue is no match for Eugenides.",006083577X,387 pages,"2,359"," 
            Published
        January 24th 2006
         by Greenwillow Books",4.36,"27,532"
R. Scott Bakker,,Paperback,The Darkness That Comes Before,"The first book in R. Scott Bakker's Prince of Nothing series creates a world from whole cloth-its language and classes of people, its cities, religions, mysteries, taboos, and rituals. It's a world scarred by an apocalyptic past, evoking a time both two thousand years past and two thousand years into the future, as untold thousands gather for a crusade. Among them, two menThe first book in R. Scott Bakker's Prince of Nothing series creates a world from whole cloth-its language and classes of people, its cities, religions, mysteries, taboos, and rituals. It's a world scarred by an apocalyptic past, evoking a time both two thousand years past and two thousand years into the future, as untold thousands gather for a crusade. Among them, two men and two women are ensnared by a mysterious traveler, Anasûrimbor Kellhus - part warrior, part philosopher, part sorcerous, charismatic presence - from lands long thought dead.  is a history of this great holy war, and like all histories, the survivors write its conclusion.",1585676772,608 pages,803," 
            Published
        May 31st 2005
         by Overlook Books",3.78,"15,789"
John Flanagan,Rebecca Caudill Young Readers' Book Award Nominee (2008),Paperback,The Ruins of Gorlan,"They have always scared him in the past — the Rangers, with their dark cloaks and shadowy ways. The villagers believe the Rangers practice magic that makes them invisible to ordinary people. And now 15-year-old Will, always small for his age, has been chosen as a Ranger's apprentice. What he doesn't yet realize is that the Rangers are the protectors of the kingdom. HighlyThey have always scared him in the past — the Rangers, with their dark cloaks and shadowy ways. The villagers believe the Rangers practice magic that makes them invisible to ordinary people. And now 15-year-old Will, always small for his age, has been chosen as a Ranger's apprentice. What he doesn't yet realize is that the Rangers are the protectors of the kingdom. Highly trained in the skills of battle and surveillance, they fight the battles before the battles reach the people. And as Will is about to learn, there is a large battle brewing. The exiled Morgarath, Lord of the Mountains of Rain and Night, is gathering his forces for an attack on the kingdom. This time, he will not be denied....",0142406635,249 pages,"6,542"," 
            Published
        June 8th 2006
         by Puffin Books",4.21,"100,013"
Alison Croggon,,Hardcover,The Riddle,"Maerad is a girl with a tragic and bitter past, but her powers grow stronger by the day. Now she and her mentor, Cadvan, hunted by both the Light and the Dark, must unravel the Riddle of the Treesong before their fractured kingdom erupts in chaos. The quest leads MaeMaerad is a girl with a tragic and bitter past, but her powers grow stronger by the day. Now she and her mentor, Cadvan, hunted by both the Light and the Dark, must unravel the Riddle of the Treesong before their fractured kingdom erupts in chaos. The quest leads Maerad over terrifying seas and vast stretches of glacial wilderness, ever closer to the seductive Winterking -- ally of her most powerful enemy, the Nameless One. Trapped in the Winterking's icy realm, Maerad must confront what she has suspected all along: that she is the greatest riddle of all. A sequel to THE NAMING, this second book in a captivating quartet about the ancient world of Edil-Amarandh is a sweeping epic readers won't soon forget.",,490 pages,546," 
            Published
        August 8th 2006
         by Candlewick Press",4.1,"18,908"
Catherynne M. Valente,Mythopoeic Fantasy Award for Adult Literature (2008),Paperback,In the Cities of Coin and Spice,"Catherynne M. Valente enchanted readers with her spellbinding. Now she continues to weave her storytelling magic in a new book of Orphan’s Tales—an epic of the fantastic and the exotic, the monstrous and mysterious, that will transport you far away from the everyday….Her name and origins are unknown, but the endless tales inked upon this orphan’s eyeliCatherynne M. Valente enchanted readers with her spellbinding. Now she continues to weave her storytelling magic in a new book of Orphan’s Tales—an epic of the fantastic and the exotic, the monstrous and mysterious, that will transport you far away from the everyday….Her name and origins are unknown, but the endless tales inked upon this orphan’s eyelids weave a spell over all who listen to her read her secret history. And who can resist the stories she tells? From the Lake of the Dead and the City of Marrow to the artists who remain behind in a ghost city of spice, here are stories of hedgehog warriors and winged skeletons, loyal leopards and sparrow calligraphers. Nothing is too fantastic, anything can happen, but you’ll never guess what comes next in these intimately linked adventures of firebirds and djinn, singing manticores, mutilated unicorns, and women made entirely of glass and gears. Graced with the magical illustrations of Michael Kaluta,  is a book of dreams and wonders unlike any you’ve ever encountered. Open it anywhere and you will fall under its spell. For here the story never ends and the magic is only beginning….",055338404X,516 pages,247," 
            Published
        October 30th 2007
         by Spectra",4.39,"2,371"
Stephen King,"Bram Stoker Award for Best Novel (2008),Audie Award for Fiction (2009)",Hardcover,Duma Key,"Six months after a crane crushes his pickup truck and his body self-made millionaire Edgar Freemantle launches into a new life. His wife asked for a divorce after he stabbed her with a plastic knife and tried to strangle her one-handed (he lost his arm and for a time his rational brain in the accident). He divides his wealth into four equal parts for his wife, his two daugSix months after a crane crushes his pickup truck and his body self-made millionaire Edgar Freemantle launches into a new life. His wife asked for a divorce after he stabbed her with a plastic knife and tried to strangle her one-handed (he lost his arm and for a time his rational brain in the accident). He divides his wealth into four equal parts for his wife, his two daughters, himself and leaves Minnesota for Duma Key, a stunningly beautiful, eerily remote stretch of the Florida coast where he has rented a house. All of the land on Duma Key, and the few houses, are owned by Elizabeth Eastlake, an octogenarian whose tragic and mysterious past unfolds perilously. When Edgar begins to paint, his formidable talent seems to come from someplace outside him, and the paintings, many of them, have a power that cannot be controlled.",1416552510,611 pages,"4,706"," 
            Published
        January 1st 2008
         by Scribner",3.93,"85,903"
J.K. Rowling,,Hardcover,Fantastic Beasts and Where to Find Them,"An approved textbook at Hogwarts School of Witchcraft and Wizardry since publication, Newt Scamander's masterpiece has entertained wizarding families through the generations. Fantastic Beasts and Where to Find Them is an indispensable introduction to the magical beasts of the Wizarding World. Scamander's years of travel and research have created a tome of unparalleled impoAn approved textbook at Hogwarts School of Witchcraft and Wizardry since publication, Newt Scamander's masterpiece has entertained wizarding families through the generations. Fantastic Beasts and Where to Find Them is an indispensable introduction to the magical beasts of the Wizarding World. Scamander's years of travel and research have created a tome of unparalleled importance. Some of the beasts will be familiar to readers of the Harry Potter books - the Hippogriff, the Basilisk, the Hungarian Horntail ... Others will surprise even the most ardent amateur Magizoologist. This is an essential companion to the Harry Potter stories, and includes a new foreword from J.K. Rowling (writing as Newt Scamander) and six new beasts!",0439321603,59 pages,"8,002"," 
            Published
        June 1st 2001
         by Arthur A. Levine Books",3.98,"250,692"
Neal Stephenson,"Hugo Award Nominee for Best Novel (2009),Locus Award for Best Science Fiction Novel (2009),Arthur C. Clarke Award Nominee for Best Novel (2009),British Science Fiction Association Award Nominee for Best Novel (2008),John W. Campbell Award Nominee for Best Novel (2009)",Kindle Edition,Anathem,"Fraa Erasmas is a young avout living in the Concent of Saunt Edhar, a sanctuary for mathematicians, scientists, and philosophers, protected from the corrupting influences of the outside ""saecular"" world by ancient stone, honored traditions, and complex rituals. Over the centuries, cities and governments have risen and fallen beyond the concent's walls. Three times during hFraa Erasmas is a young avout living in the Concent of Saunt Edhar, a sanctuary for mathematicians, scientists, and philosophers, protected from the corrupting influences of the outside ""saecular"" world by ancient stone, honored traditions, and complex rituals. Over the centuries, cities and governments have risen and fallen beyond the concent's walls. Three times during history's darkest epochs violence born of superstition and ignorance has invaded and devastated the cloistered mathic community. Yet the avout have always managed to adapt in the wake of catastrophe, becoming out of necessity even more austere and less dependent on technology and material things. And Erasmas has no fear of the outside—the Extramuros—for the last of the terrible times was long, long ago.Now, in celebration of the week-long, once-in-a-decade rite of Apert, the fraas and suurs prepare to venture beyond the concent's gates—at the same time opening them wide to welcome the curious ""extras"" in. During his first Apert as a fraa, Erasmas eagerly anticipates reconnecting with the landmarks and family he hasn't seen since he was ""collected."" But before the week is out, both the existence he abandoned and the one he embraced will stand poised on the brink of cataclysmic change.Powerful unforeseen forces jeopardize the peaceful stability of mathic life and the established ennui of the Extramuros—a threat that only an unsteady alliance of saecular and avout can oppose—as, one by one, Erasmas and his colleagues, teachers, and friends are summoned forth from the safety of the concent in hopes of warding off global disaster. Suddenly burdened with a staggering responsibility, Erasmas finds himself a major player in a drama that will determine the future of his world—as he sets out on an extraordinary odyssey that will carry him to the most dangerous, inhospitable corners of the planet . . . and beyond.",0061474096,937 pages,"4,396","  
            Published
        September 9th 2008
         by William Morrow",4.18,"53,377"
Gene Wolfe,,Paperback,The Knight,"A young man in his teens is transported from our world to a magical realm that contains seven levels of reality. Very quickly transformed by magic into a grown man of heroic proportions, he takes the name Able and sets out on a quest to find the sword that has been promised to him, a sword he will get from a dragon, the one very special blade that will help him fulfill hisA young man in his teens is transported from our world to a magical realm that contains seven levels of reality. Very quickly transformed by magic into a grown man of heroic proportions, he takes the name Able and sets out on a quest to find the sword that has been promised to him, a sword he will get from a dragon, the one very special blade that will help him fulfill his life ambition to become a knight and a true hero.Inside, however, Able remains a boy, and he must grow in every sense to survive the dangers and delights that lie ahead in encounters with giants, elves, wizards, and dragons. His adventure will conclude in the second volume of The Wizard Knight, .With this new series, Wolfe not only surpasses all the most popular genre writers of the last three decades, he takes on the legends of the past century, in a work that will be favorably compared with the best of J. R. R. Tolkien, E. R. Eddison, Mervyn Peake, and T. H. White. This is a book---and a series---for the ages, from perhaps the greatest living writer in (or outside) the fantasy genre.",0765347016,544 pages,239," 
            Published
        August 1st 2005
         by Tor Fantasy",3.74,"3,982"
